id,sex,employment,married,income,digital3
1,1,unemployed,1,16514,0
2,0,employed,1,8842,0
3,0,employed,0,19424,.59677118
4,1,unemployed,1,7418,.6223107
5,1,retired,0,843,.38893035
6,1,employed,1,5512,.33240461
7,1,employed,0,12344,0
8,1,employed,0,11170,0
9,0,employed,1,5045,.81095594
10,1,student,0,0,.67109036
11,1,employed,0,7731,.071889952
12,1,employed,0,7403,.51131225
13,1,employed,1,6928,.0044416189
14,1,employed,1,8598,.25167367
15,0,retired,1,10267,.2350806
16,1,employed,0,30263,.088328443
17,1,employed,1,13215,.82185668
18,0,student,0,0,.6788457
19,0,unemployed,1,0,.46586636
20,1,retired,1,4231,.2304627
21,1,unemployed,1,20569,.71259248
22,1,employed,0,8610,.50060678
23,1,employed,1,17266,.68940324
24,0,employed,1,24661,0
25,0,employed,1,6712,.13552691
26,1,retired,1,3787,0
27,1,student,0,14187,.084076248
28,0,unemployed,1,0,.073785573
29,1,employed,1,20145,0
30,0,student,0,5653,.9605999
31,1,employed,0,47579,.96773726
32,0,unemployed,0,0,0
33,0,employed,1,8973,0
34,1,employed,1,6697,0
35,1,employed,0,5862,0
36,1,employed,1,8056,.75341696
37,0,employed,1,11195,0
38,0,employed,1,6163,.67121375
39,1,student,0,0,0
40,1,employed,1,96092,0
41,1,employed,1,6000,.41984934
42,1,employed,1,8316,.89195353
43,1,employed,1,15156,.33061031
44,1,employed,1,18409,.079899132
45,1,employed,0,14195,.93152177
46,1,employed,0,14019,.13420676
47,0,unemployed,1,0,.20150708
48,1,employed,1,5047,.11985165
49,1,employed,1,12635,0
50,1,student,0,0,0
51,1,employed,0,12951,.045738399
52,0,employed,1,12991,.76705247
53,1,employed,0,15317,.68356633
54,0,employed,1,7300,0
55,1,retired,1,20659,0
56,1,employed,1,13057,.6749422
57,1,employed,1,12486,0
58,1,unemployed,1,0,.7982372
59,1,retired,0,5603,.23134489
60,0,employed,1,20068,.69690943
61,1,employed,1,6083,0
62,0,employed,0,16955,.50783449
63,1,employed,0,8510,.68471086
64,0,unemployed,1,0,0
65,1,employed,0,19459,.68014163
66,0,unemployed,1,5739,.65919703
67,0,employed,1,8335,0
68,1,employed,1,52600,.80458152
69,1,employed,1,21444,.19181779
70,1,student,0,88504,.28152508
71,1,employed,1,12551,.53293306
72,0,employed,1,121667,.090339601
73,0,employed,1,10206,.29904139
74,1,employed,0,39785,.54651803
75,0,employed,1,9193,.5541479
76,1,employed,1,12393,.3622137
77,0,unemployed,1,15239,.66167808
78,1,employed,1,13345,.54944849
79,0,employed,1,9537,.6206938
80,1,employed,1,30058,.73358887
81,1,employed,0,50336,.26587176
82,1,student,0,4673,.27468646
83,0,unemployed,1,0,.89629215
84,1,student,0,2877,.28403684
85,1,retired,1,11291,.23154807
86,1,employed,1,215199,0
87,0,employed,1,6213,.24259315
88,1,unemployed,1,0,0
89,1,employed,1,25918,.72493374
90,0,unemployed,0,11753,.63323694
91,0,unemployed,1,0,.77771425
92,0,employed,1,16756,0
93,1,employed,0,9415,.20771298
94,0,employed,0,12861,.50587279
95,1,student,0,5398,.73873353
96,0,employed,1,5333,.20713975
97,1,employed,1,16600,0
98,0,employed,1,7650,0
99,1,employed,1,7286,.65456986
100,0,employed,0,5278,.80131388
101,1,employed,1,12631,.53921217
102,1,employed,1,7355,.62637711
103,0,employed,1,8283,.78152227
104,0,unemployed,1,41688,.21169306
105,0,student,0,5916,.90996611
106,0,employed,1,54769,0
107,0,unemployed,1,31843,.74270201
108,1,unemployed,1,8512,.059217468
109,1,employed,1,14294,.88525182
110,0,unemployed,1,0,.83259684
111,0,employed,1,10839,0
112,0,employed,1,8858,.63736451
113,1,employed,0,10912,.78375131
114,0,employed,1,1000000,0
115,1,employed,1,26448,.70883238
116,0,employed,0,14592,0
117,1,retired,1,8633,.13538763
118,1,retired,1,1215,0
119,0,employed,1,9302,0
120,0,employed,1,61258,.83608443
121,1,employed,1,6062,.87788296
122,1,employed,1,27008,0
123,0,employed,1,25061,.61301023
124,1,employed,1,8541,0
125,1,student,1,0,.43917334
126,1,employed,1,13343,.27741417
127,1,employed,1,48514,0
128,1,employed,1,8062,0
129,0,employed,0,16834,.53153741
130,0,student,0,0,.1606569
131,0,employed,0,24377,.6297192
132,1,unemployed,1,6902,.51360589
133,1,employed,1,7431,.24860556
134,0,unemployed,0,18099,.50591272
135,1,employed,0,12170,0
136,1,unemployed,1,12346,0
137,1,employed,1,22206,.28408694
138,0,employed,1,39113,.72877955
139,1,employed,0,42742,.70312393
140,0,employed,1,14688,0
141,1,employed,0,5288,.50056607
142,1,retired,1,10871,.22815271
143,0,employed,0,8864,.70509791
144,0,employed,0,17371,0
145,0,employed,1,16225,.061634835
146,1,student,0,596,.8966223
147,1,student,0,0,0
148,1,employed,1,31767,.12175974
149,1,employed,0,35475,.085828155
150,0,employed,1,49445,0
151,0,employed,1,8262,0
152,1,employed,1,15440,.61250144
153,0,unemployed,1,0,0
154,1,employed,0,12273,.505
155,1,employed,0,12153,.25386879
156,1,student,0,7410,.94429421
157,0,student,0,3599,.79463762
158,1,unemployed,1,0,.22892407
159,1,student,0,0,.31146985
160,1,employed,0,13183,.72625512
161,1,unemployed,0,17252,0
162,1,employed,1,9933,.11301342
163,1,student,0,0,.79109073
164,0,retired,1,6695,.3262687
165,1,unemployed,1,0,.58882767
166,0,employed,1,6408,.56071758
167,1,employed,1,6104,0
168,1,employed,1,21688,.59581316
169,1,employed,1,5695,.80002201
170,0,student,0,0,.056250662
171,0,employed,1,6821,.93482882
172,1,employed,1,7575,.56277561
173,1,student,0,0,.76356399
174,1,employed,1,113343,.53268152
175,1,retired,1,4877,.29187208
176,0,employed,1,5552,0
177,0,retired,1,34430,0
178,1,unemployed,1,0,.80068731
179,1,employed,1,7938,.57621962
180,1,employed,1,57043,0
181,0,student,0,0,.87476277
182,1,retired,0,13033,0
183,1,employed,1,9702,0
184,1,employed,1,13867,.78336036
185,0,employed,1,12720,.48433
186,0,employed,1,15686,.14039995
187,1,student,1,3736,.39691329
188,1,employed,1,8333,.88056529
189,1,student,0,0,.17848231
190,0,employed,1,10501,.22735579
191,0,employed,0,26372,0
192,1,unemployed,1,18235,0
193,1,unemployed,1,16099,.74054277
194,1,retired,0,3954,.10947584
195,1,retired,0,7698,.15864204
196,1,retired,0,10499,.28560293
197,0,employed,1,6445,0
198,0,retired,1,7344,0
199,0,employed,1,11544,.56204182
200,1,retired,1,7825,.22819765
201,0,employed,1,4785,.63195026
202,1,employed,1,6426,.79478264
203,1,employed,0,8776,.532215
204,1,retired,1,11725,.24809468
205,0,employed,1,14088,.58048654
206,0,unemployed,1,0,.41875562
207,1,employed,0,5885,.82360601
208,1,employed,1,20259,.58582872
209,1,retired,0,12328,0
210,1,employed,1,50072,.80621612
211,0,employed,1,10924,.55925786
212,0,unemployed,1,5339,.038024981
213,0,employed,1,7568,.56886387
214,0,retired,0,3536,0
215,0,employed,0,8385,.067263246
216,1,retired,1,6935,0
217,0,student,0,0,.82176876
218,1,employed,1,14782,.63274813
219,1,unemployed,0,0,.33756524
220,1,student,0,0,.75666088
221,0,student,0,0,.81955874
222,1,employed,0,15541,0
223,1,employed,1,19528,.74415934
224,1,retired,1,11742,.065605521
225,1,employed,1,11772,0
226,0,unemployed,0,25803,.6829046
227,0,employed,1,23690,.28880221
228,1,student,0,0,.7736156
229,1,employed,1,18845,.8532483
230,1,employed,1,37598,.50326788
231,1,employed,1,44756,.55172539
232,1,unemployed,0,0,0
233,0,employed,1,10979,0
234,0,unemployed,1,17027,.82673091
235,1,employed,1,25375,.64295322
236,1,student,0,0,.025946485
237,1,unemployed,0,0,.065321557
238,1,employed,1,9327,.61000162
239,1,student,0,0,.67533469
240,0,employed,1,13818,0
241,1,retired,1,35726,0
242,1,student,0,5051,.1966469
243,1,unemployed,1,61747,.59126264
244,0,unemployed,0,11501,.99807608
245,1,employed,0,12686,.62135184
246,1,employed,0,32667,.57016408
247,1,student,0,0,.92331034
248,0,unemployed,1,14144,.53753889
249,1,unemployed,0,7730,.48747182
250,0,employed,0,16441,.37246528
251,1,employed,0,21415,0
252,0,employed,1,8506,.59371722
253,0,unemployed,1,12172,.46306363
254,1,employed,1,9288,0
255,0,employed,1,7177,.32351512
256,0,employed,1,15009,.38597816
257,1,employed,0,22091,.41788507
258,1,employed,1,5374,0
259,0,employed,1,6168,.31371227
260,1,unemployed,1,0,.064900786
261,1,student,0,0,.94793671
262,1,student,0,0,.48344204
263,0,employed,1,10058,.75081211
264,0,employed,1,20951,.52476454
265,1,employed,1,153251,.57826638
266,0,retired,1,26497,.30046302
267,0,employed,0,10177,.6014359
268,0,unemployed,1,0,.83022481
269,1,employed,0,9741,.69879192
270,1,unemployed,1,0,.55955684
271,0,retired,1,10363,.34043127
272,0,unemployed,1,0,.20216511
273,1,employed,1,5404,.24171743
274,0,employed,0,6741,.62813103
275,1,student,0,22745,.33994341
276,0,employed,1,6560,.82050043
277,1,unemployed,0,38391,.14698099
278,1,employed,0,23994,.77886564
279,0,employed,0,20666,.19572459
280,1,student,0,16130,.68095756
281,1,employed,0,14161,0
282,0,employed,1,8129,.11018316
283,0,employed,1,18849,.0261735
284,1,unemployed,1,0,.09190648
285,1,employed,1,25171,.69567418
286,1,employed,1,7976,.56777686
287,1,employed,1,14104,.099653803
288,1,employed,0,23621,0
289,1,unemployed,1,7031,0
290,0,unemployed,1,8046,.67573309
291,0,employed,1,5842,.67103726
292,1,student,0,6856,.067317143
293,0,employed,0,28615,.78824568
294,0,employed,1,34725,.7670269
295,0,unemployed,0,25436,.065874942
296,1,employed,1,6629,.74845928
297,0,employed,1,109467,.16610433
298,1,student,0,0,.99984896
299,0,unemployed,1,0,0
300,0,student,0,0,.86977094
301,1,unemployed,1,12053,.52239293
302,0,unemployed,1,0,.67381227
303,1,employed,1,28137,.010122913
304,1,student,0,0,.83783662
305,1,unemployed,0,8225,0
306,1,employed,1,11238,.087459877
307,1,employed,1,52361,.62554801
308,1,employed,1,5926,.63384533
309,0,unemployed,0,43191,.56715107
310,1,employed,1,5972,.36576054
311,1,student,0,3701,.89222503
312,0,employed,1,13110,.19174585
313,1,employed,1,7629,.79444194
314,1,employed,1,12389,.5128721
315,0,retired,1,6136,.20305428
316,0,employed,1,5965,.34185082
317,0,employed,1,12188,.87370467
318,1,student,0,0,.19111204
319,0,retired,1,10928,.11685095
320,1,employed,1,23122,0
321,0,unemployed,0,12730,.10421742
322,0,employed,1,9804,0
323,1,student,0,6252,.80528438
324,1,employed,1,14093,.81014377
325,0,student,0,0,.2266975
326,0,student,0,4891,.95200992
327,1,employed,0,38841,.84621191
328,1,unemployed,0,832982,.19257653
329,1,employed,0,6564,0
330,1,employed,1,66172,0
331,0,employed,0,10267,.37120298
332,0,student,0,0,.94214773
333,1,employed,0,151182,.82929116
334,1,unemployed,1,19340,.6924687
335,1,employed,1,222596,.65750039
336,1,employed,0,36362,.26401877
337,1,employed,0,11449,0
338,0,unemployed,1,8079,.51823086
339,0,unemployed,1,0,0
340,1,unemployed,1,0,.14770909
341,1,employed,0,10878,.65240932
342,1,employed,1,9266,.40487394
343,1,employed,0,8926,.18068187
344,1,employed,1,6924,.63824528
345,1,unemployed,1,10328,.55547553
346,0,unemployed,0,7052,.64170772
347,1,employed,1,13444,.37354088
348,1,employed,1,27758,.5620923
349,1,employed,1,7653,.76008087
350,0,student,0,13627,.073304832
351,1,retired,0,4779,.21430579
352,0,retired,1,3530,.036562011
353,1,employed,1,5888,.21584208
354,1,employed,1,8940,.10460673
355,0,unemployed,0,20308,.67347628
356,1,student,0,0,.97542191
357,1,employed,0,703730,.8581
358,0,student,0,0,.82537717
359,0,retired,1,2383,.21769376
360,1,employed,0,6306,.78144389
361,0,student,0,0,.97095597
362,1,employed,1,14226,0
363,1,employed,1,8027,0
364,1,employed,1,7272,0
365,1,employed,0,22147,.50234389
366,1,employed,0,10417,.50870126
367,1,student,0,0,.90105313
368,1,employed,1,51519,0
369,0,unemployed,1,45046,.17221306
370,1,employed,1,22119,.80456048
371,1,retired,0,5569,0
372,1,employed,1,8009,.35808775
373,1,retired,1,11998,0
374,0,retired,1,11462,.041647583
375,0,employed,1,5460,.27032885
376,0,employed,0,8835,.92885315
377,0,employed,1,9378,.73029304
378,1,employed,1,5489,.53206956
379,0,student,0,18640,.84318101
380,1,employed,1,7252,0
381,1,employed,0,6494,.50233215
382,1,student,0,0,.83792394
383,0,unemployed,0,9091,0
384,1,student,0,28441,.71425217
385,0,employed,0,18674,0
386,0,employed,1,12548,.56760418
387,1,employed,1,22265,.71145034
388,1,employed,1,6973,.75296146
389,1,employed,1,31289,0
390,0,employed,1,38139,.64242637
391,0,employed,1,20221,.20507309
392,1,student,0,0,.91392094
393,0,employed,0,77636,.80219305
394,0,unemployed,0,0,.53124708
395,0,unemployed,1,0,.76552808
396,0,employed,0,33498,.78216112
397,1,retired,1,9508,.24514087
398,1,unemployed,1,25230,.34136307
399,0,employed,1,19827,.7579459
400,0,retired,0,9130,0
401,1,employed,0,8971,.77253151
402,0,employed,1,11215,.73085117
403,0,unemployed,0,21641,0
404,0,employed,0,19220,.70671636
405,1,employed,1,15781,.73622119
406,1,employed,0,14842,.52885938
407,1,student,0,0,.83192116
408,1,employed,1,6945,.53438652
409,1,employed,1,8754,.53683114
410,0,unemployed,1,0,.74747556
411,1,student,0,0,.82921845
412,1,student,0,0,.84536654
413,0,retired,0,12627,.31050307
414,1,employed,1,10387,.42236727
415,0,employed,1,16224,.72854239
416,1,student,0,0,.8444491
417,1,employed,1,47396,.52319789
418,1,employed,1,15359,.88361382
419,0,unemployed,0,10704,.28926906
420,1,unemployed,1,0,.89773744
421,1,employed,1,24758,.46325496
422,1,employed,1,70301,.60362232
423,1,employed,1,10299,.62400138
424,0,employed,0,23783,0
